nhl_game_id,team,is_home,pp_xgf,pp_shots
2013021092,BOS,1,0.1365,3
2013021092,CHI,0,0.0169,3
2013021093,ARI,0,0.077,8
2013021093,NJD,1,0.6119,9
2013021094,LAK,0,0.7591,6
2013021094,PIT,1,1.4225,17
2013021095,DET,1,0.3096,5
2013021095,MTL,0,0.5912,9
2013021096,NYI,0,0.0298,4
2013021096,TBL,1,0.3787,6
2013021097,CAR,0,0.0237,3
2013021097,FLA,1,0.1499,4
2013021098,MIN,0,0.1314,11
2013021098,STL,1,0.9628,10
2013021099,BUF,0,0.331,4
2013021099,NSH,1,0.9272,8
2013021100,COL,1,0.0384,1
2013021100,VAN,0,1.2496,10
2013021101,SJS,1,0.7052,7
2013021101,WPG,0,0.5114,4
2013021102,PHI,1,0.6776,8
2013021102,TOR,0,0.0575,4
2013021103,CBJ,1,1.0151,14
2013021103,PIT,0,0.408,6
2013021104,CHI,0,1.4048,11
2013021104,OTT,1,0.5612,4
2013021105,DAL,1,0.2754,2
2013021105,NSH,0,0.0205,2
2013021106,CGY,1,1.2156,7
2013021106,NYR,0,0.0036,1
2013021107,ANA,0,0.4908,9
2013021107,EDM,1,0.0305,1
2013021108,BOS,0,1.3878,13
2013021108,WSH,1,0.8464,10
2013021109,COL,1,0.7727,6
2013021109,SJS,0,2.0001,9
2013021110,BUF,1,0.2407,4
2013021110,TBL,0,1.0966,10
2013021111,DET,0,0.5773,3
2013021111,TOR,1,0.3717,2
2013021112,FLA,1,0.6091,7
2013021112,MTL,0,0.1306,9
2013021113,NJD,0,0.0377,3
2013021113,NYI,1,0.3384,5
2013021114,CAR,1,0.1789,3
2013021114,CBJ,0,0.2168,2
2013021115,DAL,0,0.1901,12
2013021115,STL,1,0.979,7
2013021116,ARI,1,0.4429,6
2013021116,MIN,0,0.0186,2
2013021117,ANA,0,0.5664,5
2013021117,VAN,1,0.2394,7
2013021118,LAK,1,0.5902,6
2013021118,WPG,0,0.674,4
2013021119,CGY,0,0.0824,8
2013021119,OTT,1,0.383,2
2013021120,DET,1,0.3769,5
2013021120,TBL,0,0.117,8
2013021121,BOS,0,0.3731,1
2013021121,PHI,1,0.336,2
2013021122,CHI,0,0.0101,2
2013021122,PIT,1,0.3589,6
2013021123,WSH,0,1.1951,6
2013021124,EDM,1,1.0541,12
2013021124,NYR,0,0.6084,16
2013021125,CAR,0,0.0045,1
2013021125,OTT,1,0.2351,3
2013021126,FLA,0,0.5847,8
2013021126,NJD,1,0.9767,12
2013021127,ANA,1,0.1602,2
2013021127,WPG,0,0.7882,9
2013021128,LAK,1,0.2022,1
2013021128,MIN,0,0.6508,2
2013021129,BUF,1,0.1388,3
2013021129,NJD,0,0.4825,6
2013021130,CGY,0,0.02,2
2013021131,FLA,0,0.5783,7
2013021131,NYI,1,0.9887,9
2013021132,CAR,0,0.597,1
2013021132,PIT,1,0.0832,2
2013021133,DAL,0,0.0671,8
2013021133,WSH,1,0.905,12
2013021134,CBJ,1,0.3397,5
2013021134,COL,0,0.5011,3
2013021135,MTL,0,0.099,6
2013021135,TBL,1,1.146,15
2013021136,PHI,0,0.0201,3
2013021136,STL,1,0.5317,6
2013021137,NYR,0,0.8726,7
2013021137,VAN,1,0.397,4
2013021138,ARI,1,0.3216,3
2013021138,WPG,0,0.0371,3
2013021139,EDM,0,0.4206,7
2013021139,SJS,1,1.4556,15
2013021140,NYI,0,1.5424,5
2013021140,OTT,1,1.3921,13
2013021141,BOS,0,0.8183,11
2013021142,ANA,1,0.5608,7
2013021142,EDM,0,0.9643,5
2013021143,ARI,0,0.0265,3
2013021143,LAK,1,0.871,6
2013021144,BOS,0,0.0307,5
2013021144,TOR,1,1.7468,11
2013021145,CBJ,0,0.1789,10
2013021145,PHI,1,0.3383,4
2013021146,CAR,1,0.5823,7
2013021146,DAL,0,0.0507,6
2013021147,CGY,0,0.9421,3
2013021147,TBL,1,0.2892,5
2013021148,CHI,1,0.1109,1
2013021148,MIN,0,0.0175,2
2013021149,BUF,0,0.0366,4
2013021149,STL,1,0.0265,1
2013021150,PIT,0,0.652,2
2013021150,WPG,1,0.2315,5
2013021151,COL,1,0.3842,8
2013021151,NYR,0,0.0391,6
2013021152,LAK,0,0.072,9
2013021152,SJS,1,0.5552,3
2013021153,MTL,0,0.0214,2
2013021153,OTT,1,0.9112,11
2013021154,CBJ,1,0.4762,6
2013021154,CHI,0,0.3955,6
2013021155,BUF,0,0.4411,1
2013021155,DET,1,0.2316,4
2013021156,CGY,0,0.0668,8
2013021156,FLA,1,0.4727,6
2013021157,NJD,1,0.8088,13
2013021157,WSH,0,0.7736,7
